Column1,Column2,Column3,Column4,Column5,Column6
raan.112,185144,3447.259,16539.70648,0.191,t
raan.113,185144,3444.128,16539.71011,0.278,t
raan.158,10700,15553.608,16539.91395,-1.100,t
raan.159,10700,15550.833,16539.91505,-1.073,t
raan.160,10700,15548.111,16539.91613,-1.047,t
raap.170,7924,14858.800,16541.88876,-1.114,t
raap.174,7924,14829.464,16541.94055,0.132,t
raap.175,7924,14821.095,16541.95518,0.484,t
raap.176,7924,14810.084,16541.97468,0.953,t
raaq.176,4628,13857.197,16542.85549,1.402,t
raaq.177,4628,13844.470,16542.86034,1.285,t
raaq.178,4628,13832.212,16542.86497,1.173,t
raaq.182,9407,16869.232,16542.90854,-0.797,t
raaq.183,9407,16859.941,16542.91868,-0.553,t
raaq.184,9407,16850.236,16542.92918,-0.300,t
raar.133,9826,19229.302,16547.94506,0.318,t
raar.134,9826,19226.311,16547.94653,0.354,t
raar.135,9826,19223.345,16547.94798,0.389,t
raar.139,12846,21319.189,16547.97162,0.451,t
raar.140,12846,21289.337,16547.98389,0.747,t
raar.141,12846,21262.048,16547.99525,1.020,t
raat.153,200964,-19554.290,16562.65714,-1.137,t
raat.154,200964,-19598.493,16562.67411,-0.729,t
raat.155,200964,-19644.033,16562.69127,-0.316,t
raax.159,168443,-28887.270,16570.66142,2.379,t
raax.160,168443,-28935.835,16570.69029,3.074,t
raax.161,168443,-28967.324,16570.71247,3.608,t
raax.217,33643,26969.512,16571.02082,0.075,t
raax.218,33643,26948.226,16571.03078,0.315,t
raax.219,33643,26926.495,16571.04099,0.561,t
raay.216,12661,10710.443,16573.92676,1.079,t
raay.217,12661,10646.694,16573.95295,1.709,t
raay.218,12661,10586.818,16573.97916,2.340,t
raay.222,12846,10601.958,16574.00189,2.854,t
raaz.158,151288,-12351.612,16574.62217,3.319,t
raaz.159,151288,-12371.742,16574.6433,3.827,t
raaz.160,151288,-12383.774,16574.65905,4.206,t
raaz.170,182488,-17053.205,16574.72993,3.195,t
raaz.171,182488,-17080.608,16574.75125,3.708,t
raaz.172,182488,-17101.521,16574.77061,4.174,t
raaz.176,BD+27_4380,-9487.900,16574.80694,1.666,t
raaz.178,KC01C19785,-5006.695,16574.83967,1.271,t
raba.166,209290,-21109.970,16577.67437,-0.662,t
raba.167,209290,-21138.532,16577.68512,-0.403,t
raba.168,209290,-21178.069,16577.6999,-0.047,t
raba.169,209290,-21216.293,16577.71417,0.296,t
raba.170,209290,-21254.906,16577.72867,0.645,t
raba.171,209290,-21292.163,16577.74285,0.986,t
raba.172,209290,-21329.939,16577.75752,1.340,t
raba.221,19373,16258.691,16577.91313,-0.027,t
raba.222,19373,16256.294,16577.91442,0.004,t
raba.223,19373,16253.896,16577.91572,0.035,t
raba.255,33643,25378.015,16578.0253,0.628,t
rabf.212,4628,-8979.095,16588.77702,-0.276,t
rabf.213,4628,-8985.605,16588.77934,-0.221,t
rabf.214,4628,-8992.152,16588.78166,-0.165,t
rabf.215,4628,-8998.768,16588.78401,-0.108,t
rabf.216,4628,-9005.387,16588.78636,-0.052,t
rabh.225,MOON,28121.011,16591.07568,-0.019,t
rabh.226,MOON,28116.103,16591.07778,0.032,t
rabh.227,MOON,28111.275,16591.07986,0.082,t
rabh.228,MOON,28106.664,16591.08184,0.129,t
rabw.144,BD+27_4380,-24285.041,16628.59012,0.075,t
rabw.145,BD+27_4380,-24314.585,16628.60384,0.405,t
rabw.146,BD+27_4380,-24342.166,16628.61676,0.716,t
rabw.147,BD+27_4380,-24368.175,16628.62911,1.013,t
rabw.148,BD+27_4380,-24395.308,16628.64225,1.330,t
rabw.152,KC01C19785,-25381.149,16628.67065,0.822,t
rabw.153,KC01C19785,-25410.950,16628.68349,1.131,t
race.158,GL48,-9232.344,16648.60227,-0.705,t
race.159,GL48,-9250.257,16648.62084,-0.258,t
race.160,GL48,-9268.227,16648.63936,0.188,t
racf.239,75732,11598.654,16662.93112,0.233,t
racf.240,75732,11592.527,16662.93354,0.291,t
racf.241,75732,11586.434,16662.93594,0.349,t
racf.242,75732,11580.144,16662.93843,0.409,t
racf.243,75732,11573.745,16662.94097,0.470,t
racf.244,75732,11567.501,16662.94344,0.529,t
racf.245,75732,11561.326,16662.9459,0.588,t
racg.156,12051,-25958.849,16663.59542,-0.817,t
