Name,Teff [K],e_Teff [K],R* [Rsun],e_R* [Rsun],log(g) [cm/s2],e_log(g) [cm/s2],[Fe/H] [sun],e_[Fe/H] [sun],M* [Msun],e_M* [Msun],logAge [yr],e_logAge [yr],plx [mas],Vmag [mag],Notes,SCat,Gaia,2M,Simbad,_RA [deg],_DE [deg]
HD 195564   ,5421,118, 1.867, 0.083, 3.91, 0.07, 0.06, 0.10, 1.03, 0.11, 9.98, 0.15, 41.3, 5.7,"E,2",  1,Gaia,2M,Simbad,308.09873,-09.85338
HD 199305   ,3692, 22, 0.547, 0.007, 4.72, 0.01,-0.21, 0.10, 0.54, 0.01,10.09, 0.21,142.2, 8.6,"E,1",  1,Gaia,2M,Simbad,313.33245,+62.15439
HD 19994    ,5916, 98, 1.930, 0.067, 3.99, 0.05, 0.17, 0.10, 1.30, 0.10, 9.62, 0.11, 44.7, 5.1,"E,2",  1,Gaia,2M,Simbad,048.19349,-01.19610
HD 201091   ,4361, 17, 0.661, 0.005, 4.63, 0.02,-0.19, 0.10, 0.68, 0.03, 9.90, 0.46,287.1, 5.2,"E,2",  0,Gaia,2M,Simbad,316.72480,+38.74944
HD 201092   ,3932, 25, 0.601, 0.007, 4.67, 0.01,-0.29, 0.10, 0.60, 0.01,10.09, 0.21,285.4, 6.0,"E,2",  1,Gaia,2M,Simbad,316.73027,+38.74206
HD 206860   ,5860, 83, 1.019, 0.029, 4.43, 0.05,-0.16, 0.10, 1.00, 0.08, 9.64, 0.37, 54.4, 6.0,"E,2",  0,Gaia,2M,Simbad,326.13054,+14.77194
HD 21019    ,5261, 65, 2.421, 0.076, 3.64, 0.05,-0.41, 0.10, 0.93, 0.07,10.01, 0.11, 27.1, 6.2,"E,2",  1,Gaia,2M,Simbad,050.82375,-07.79410
HD 210702   ,4780, 18, 5.231, 0.117, 3.05, 0.09, 0.03, 0.10, 1.12, 0.21, 9.86, 0.27, 17.9, 5.9,"E,2",  1,Gaia,2M,Simbad,332.96388,+16.04055
HD 216899   ,3713, 11, 0.548, 0.005, 4.72, 0.01, 0.06, 0.10, 0.56, 0.01, 9.99, 0.39,146.0, 8.6,"E,1",  1,Gaia,2M,Simbad,344.14502,+16.55343
HD 217014   ,5706, 95, 1.168, 0.042, 4.32, 0.06, 0.17, 0.10, 1.01, 0.07, 9.89, 0.21, 65.1, 5.5,"E,2",  1,Gaia,2M,Simbad,344.36658,+20.76883
HD 217107   ,5391, 40, 1.210, 0.019, 4.25, 0.03, 0.31, 0.10, 0.94, 0.03,10.13, 0.06, 50.0, 6.2,"E,1",  1,Gaia,2M,Simbad,344.56475,-02.39538
HD 217987   ,3676, 35, 0.471, 0.009, 4.79, 0.02,-0.19, 0.10, 0.49, 0.02, 9.66, 0.53,303.9, 7.3,"E,2",  1,Gaia,2M,Simbad,346.46682,-35.85307
HD 219134   ,4699, 16, 0.778, 0.005, 4.55, 0.01, 0.07, 0.10, 0.77, 0.02,10.12, 0.11,153.2, 5.6,"E,2",  0,Gaia,2M,Simbad,348.32073,+57.16836
HD 219623   ,6285, 94, 1.195, 0.036, 4.36, 0.04, 0.04, 0.10, 1.18, 0.06, 9.25, 0.25, 49.3, 5.6,"E,2",  1,Gaia,2M,Simbad,349.17626,+53.21347
HD 222368   ,6192, 26, 1.595, 0.014, 4.12, 0.02,-0.14, 0.10, 1.22, 0.06, 9.60, 0.07, 72.5, 4.1,"E,2",  0,Gaia,2M,Simbad,354.98767,+05.62629
HD 22484    ,5998, 39, 1.622, 0.024, 4.08, 0.02,-0.09, 0.10, 1.15, 0.04, 9.71, 0.09, 72.9, 4.3,"E,2",  0,Gaia,2M,Simbad,054.21826,+00.40166
HD 23249    ,4955, 30, 2.327, 0.029, 3.70, 0.03, 0.12, 0.10, 0.98, 0.06,10.10, 0.09,110.6, 3.5,"E,2",  1,Gaia,2M,Simbad,055.81209,-09.76339
HD 26965    ,5147, 14, 0.805, 0.004, 4.52, 0.03,-0.24, 0.10, 0.79, 0.05,10.04, 0.18,198.2, 4.4,"E,2",  1,Gaia,2M,Simbad,063.81800,-07.65287
HD 30652    ,6441, 19, 1.322, 0.010, 4.29, 0.02, 0.00, 0.10, 1.25, 0.05, 9.28, 0.15,124.6, 3.2,"E,2",  1,Gaia,2M,Simbad,072.46005,+06.96127
HD 34411    ,5774, 44, 1.331, 0.021, 4.20, 0.03, 0.05, 0.10, 1.03, 0.04, 9.92, 0.08, 79.1, 4.7,"E,2",  1,Gaia,2M,Simbad,079.78531,+40.09905
HD 36395    ,3801,  9, 0.574, 0.004, 4.70, 0.01, 0.35, 0.10, 0.60, 0.01, 9.76, 0.49,177.1, 8.0,"E,1",  1,Gaia,2M,Simbad,082.86415,-03.67723
HD 3651     ,5046, 86, 0.947, 0.032, 4.46, 0.04, 0.15, 0.10, 0.85, 0.04,10.12, 0.13, 90.0, 5.9,"E,2",  0,Gaia,2M,Simbad,009.84086,+21.25047
