Name,Teff [K],e_Teff [K],R* [Rsun],e_R* [Rsun],log(g) [cm/s2],e_log(g) [cm/s2],[Fe/H] [sun],e_[Fe/H] [sun],M* [Msun],e_M* [Msun],logAge [yr],e_logAge [yr],plx [mas],Vmag [mag],Notes,SCat,Gaia,2M,Simbad,_RA [deg],_DE [deg]
HD 14655    ,5755, 60, 1.970, 0.230, 3.92, 0.05, 0.12, 0.05, 1.23, 0.12, 9.70, 0.13,  9.8, 8.2,"A,2",  1,Gaia,2M,Simbad,035.41098,-15.76798
HD 14787    ,4946, 60, 4.450, 0.590, 3.23, 0.05, 0.03, 0.05, 1.28, 0.20, 9.67, 0.23,  8.4, 7.6,"A,1",  1,Gaia,2M,Simbad,035.80856,+10.83675
HD 148284   ,5572, 60, 1.800, 0.240, 3.97, 0.05, 0.16, 0.05, 1.11, 0.12, 9.88, 0.16,  8.0, 9.0,"A,1",  1,Gaia,2M,Simbad,246.45173,+30.26513
HD 14855    ,5023, 60, 3.430, 0.480, 3.43, 0.05, 0.03, 0.05, 1.17, 0.21, 9.81, 0.26, 11.8, 7.4,"A,1",  1,Gaia,2M,Simbad,036.26560,+45.64734
HD 149750   ,5802, 60, 1.450, 0.180, 4.14, 0.05, 0.19, 0.05, 1.09, 0.10, 9.85, 0.14, 11.5, 8.6,"A,1",  1,Gaia,2M,Simbad,248.81101,+37.02213
HD 1502     ,4947, 60, 4.910, 0.610, 3.18, 0.05, 0.10, 0.05, 1.33, 0.18, 9.64, 0.19,  6.0, 8.3,"A,2",  1,Gaia,2M,Simbad,004.82111,+14.05475
HD 150706   ,5949, 60, 1.000, 0.050, 4.53, 0.05, 0.02, 0.05, 1.06, 0.04, 9.19, 0.24, 35.4, 7.0,"A,1",  1,Gaia,2M,Simbad,247.82326,+79.78978
HD 152581   ,5027, 60, 3.710, 0.410, 3.29, 0.05,-0.21, 0.05, 0.94, 0.06,10.06, 0.11,  6.0, 8.3,"A,1",  1,Gaia,2M,Simbad,253.43159,+11.97375
HD 152733   ,4835, 60, 5.260, 0.690, 3.10, 0.05, 0.16, 0.05, 1.30, 0.18, 9.69, 0.21,  6.1, 8.1,"A,1",  1,Gaia,2M,Simbad,253.23839,+44.40240
HD 15336    ,5025, 60, 4.560, 0.570, 3.12, 0.05,-0.16, 0.05, 1.00, 0.12, 9.97, 0.17,  2.9, 8.9,"A,1",  1,Gaia,2M,Simbad,036.93719,-11.97903
HD 153525   ,4826, 60, 0.740, 0.030, 4.54, 0.05, 0.03, 0.05, 0.78, 0.04, 9.83, 0.51, 55.7, 7.9,"A,1",  0,Gaia,2M,Simbad,254.42595,+47.36214
HD 155413   ,5740, 60, 2.470, 0.280, 3.79, 0.05, 0.27, 0.05, 1.42, 0.11, 9.55, 0.11, 11.6, 7.3,"A,1",  1,Gaia,2M,Simbad,257.99431,-14.62038
HD 155456   ,5225, 60, 0.910, 0.070, 4.43, 0.05, 0.26, 0.05, 0.88, 0.04,10.02, 0.33, 28.3, 8.3,"A,1",  1,Gaia,2M,Simbad,257.65671,+24.53244
HD 155712   ,4911, 60, 0.750, 0.040, 4.52, 0.05,-0.07, 0.05, 0.77, 0.04, 9.91, 0.49, 48.7, 8.0,"A,2",  1,Gaia,2M,Simbad,258.15676,+18.35120
HD 156846   ,5999, 60, 1.880, 0.230, 4.01, 0.05, 0.24, 0.05, 1.35, 0.12, 9.56, 0.11, 21.1, 6.5,"A,1",  1,Gaia,2M,Simbad,260.14296,-19.33375
HD 161479   ,5642, 60, 1.150, 0.120, 4.31, 0.05, 0.28, 0.05, 1.03, 0.06, 9.86, 0.17, 20.4, 8.1,"A,1",  1,Gaia,2M,Simbad,266.26220,+19.29046
HD 162232   ,5492, 60, 1.030, 0.100, 4.36, 0.05, 0.14, 0.05, 0.92, 0.04,10.04, 0.16, 13.4, 8.6,"A,2",  1,Gaia,2M,Simbad,267.48773,+00.51203
HD 164922   ,5341, 60, 0.950, 0.080, 4.39, 0.05, 0.15, 0.05, 0.88, 0.04,10.07, 0.18, 45.4, 7.0,"A,1",  1,Gaia,2M,Simbad,270.62859,+26.31300
HD 168443   ,5551, 60, 1.480, 0.180, 4.07, 0.05, 0.04, 0.05, 0.98, 0.06,10.05, 0.10, 26.4, 6.9,"A,2",  1,Gaia,2M,Simbad,275.01638,-09.59572
HD 170657   ,5041, 60, 0.760, 0.040, 4.54, 0.05,-0.12, 0.05, 0.79, 0.04, 9.81, 0.50, 76.2, 6.8,"A,1",  1,Gaia,2M,Simbad,277.82900,-18.90881
HD 17156    ,5970, 60, 1.510, 0.180, 4.15, 0.05, 0.22, 0.05, 1.19, 0.09, 9.67, 0.11, 30.3, 8.2,"A,1",  1,Gaia,2M,Simbad,042.43536,+71.75323
HD 172051   ,5636, 60, 0.830, 0.040, 4.58, 0.05,-0.26, 0.05, 0.89, 0.04, 9.34, 0.37, 77.0, 5.9,"A,2",  1,Gaia,2M,Simbad,279.72250,-21.05187
HD 175425   ,5773, 60, 1.270, 0.130, 4.23, 0.05, 0.12, 0.05, 1.03, 0.05, 9.90, 0.11, 13.2, 7.9,"A,1",  1,Gaia,2M,Simbad,283.40880,+37.98525
HD 17620    ,5159, 60, 3.040, 0.400, 3.46, 0.05,-0.08, 0.05, 0.96, 0.15,10.03, 0.20,  7.3, 8.2,"A,1",  1,Gaia,2M,Simbad,042.23243,-24.60980
HD 179079   ,5646, 60, 1.700, 0.220, 4.02, 0.05, 0.23, 0.05, 1.12, 0.11, 9.87, 0.15, 14.1, 8.0,"A,1",  1,Gaia,2M,Simbad,287.79095,-02.63838
HD 181234   ,5314, 60, 1.040, 0.100, 4.35, 0.05, 0.35, 0.05, 0.92, 0.04,10.08, 0.14, 20.8, 8.6,"A,1",  1,Gaia,2M,Simbad,290.00041,-09.32360
HD 18143    ,5101, 60, 0.880, 0.060, 4.43, 0.05, 0.27, 0.05, 0.86, 0.04,10.06, 0.29, 44.3, 7.6,"A,1",  1,Gaia,2M,Simbad,043.91274,+26.87321
HD 18445    ,4838, 60, 0.760, 0.030, 4.44, 0.05,-0.04, 0.05, 0.76, 0.03,10.09, 0.30, 38.9, 7.9,"A,2",  1,Gaia,2M,Simbad,044.30494,-24.97512
HD 18742    ,4941, 60, 5.050, 0.810, 3.09, 0.05,-0.02, 0.05, 1.20, 0.26, 9.75, 0.30,  6.2, 7.8,"A,1",  1,Gaia,2M,Simbad,045.04440,-20.80260
HD 189733   ,5024, 60, 0.790, 0.040, 4.51, 0.05, 0.07, 0.05, 0.82, 0.04, 9.89, 0.49, 50.4, 7.6,"A,1",  1,Gaia,2M,Simbad,300.18214,+22.71085
HD 190228   ,5238, 60, 2.150, 0.230, 3.72, 0.05,-0.22, 0.05, 0.90, 0.05,10.08, 0.08, 15.8, 7.3,"A,1",  1,Gaia,2M,Simbad,300.75322,+28.30686
HD 190571   ,4999, 60, 3.600, 0.390, 3.31, 0.05,-0.22, 0.05, 0.92, 0.05,10.08, 0.10,  9.8, 7.5,"A,1",  1,Gaia,2M,Simbad,301.09820,+33.55049
HD 193690   ,5542, 60, 0.980, 0.090, 4.41, 0.05, 0.20, 0.05, 0.96, 0.05, 9.83, 0.37, 14.3, 9.4,"A,1",  1,Gaia,2M,Simbad,305.63060,-26.15989
HD 195034   ,5810, 60, 0.960, 0.060, 4.48, 0.05, 0.00, 0.05, 1.02, 0.04, 9.39, 0.35, 35.7, 7.1,"A,1",  1,Gaia,2M,Simbad,307.04923,+22.12899
HD 196124   ,4833, 60, 0.740, 0.030, 4.50, 0.05,-0.06, 0.05, 0.76, 0.04, 9.98, 0.47, 33.3, 8.9,"A,1",  1,Gaia,2M,Simbad,308.80294,+06.12701
HD 199255   ,5027, 60, 3.740, 0.570, 3.29, 0.05,-0.05, 0.05, 0.97, 0.21,10.02, 0.28,  8.5, 7.3,"A,2",  1,Gaia,2M,Simbad,313.94606,+07.66625
HD 199381   ,4844, 60, 4.610, 0.620, 3.19, 0.05, 0.17, 0.05, 1.21, 0.18, 9.78, 0.21, 13.6, 6.9,"A,1",  1,Gaia,2M,Simbad,314.19771,+01.71518
HD 200964   ,4983, 60, 4.050, 0.590, 3.22, 0.05,-0.07, 0.05, 0.96, 0.20,10.03, 0.27, 13.9, 6.5,"A,1",  1,Gaia,2M,Simbad,316.66601,+03.80312
HD 201924   ,5401, 60, 0.890, 0.070, 4.47, 0.05, 0.05, 0.05, 0.90, 0.04, 9.84, 0.45, 31.9, 7.8,"A,1",  1,Gaia,2M,Simbad,317.79523,+45.45591
HD 202575   ,4730, 60, 0.730, 0.030, 4.50, 0.05,-0.02, 0.05, 0.75, 0.03, 9.96, 0.47, 61.8, 7.9,"A,1",  1,Gaia,2M,Simbad,319.13528,+09.39383
HD 203471   ,5425, 60, 2.340, 0.310, 3.72, 0.05,-0.02, 0.05, 1.02, 0.18, 9.94, 0.22,  7.7, 8.3,"A,1",  1,Gaia,2M,Simbad,320.39330,+28.56468
HD 203473   ,5781, 60, 1.520, 0.200, 4.11, 0.05, 0.19, 0.05, 1.10, 0.11, 9.86, 0.14, 13.2, 8.2,"A,1",  1,Gaia,2M,Simbad,320.57864,+05.02359
HD 20367    ,6094, 60, 1.100, 0.070, 4.46, 0.05, 0.17, 0.05, 1.14, 0.04, 9.18, 0.22, 37.8, 6.4,"A,1",  1,Gaia,2M,Simbad,049.41686,+31.12704
HD 206635   ,4944, 60, 2.410, 0.240, 3.65, 0.05,-0.18, 0.05, 0.87, 0.06,10.16, 0.04, 11.0, 8.3,"A,1",  1,Gaia,2M,Simbad,325.85558,+01.80091
HD 207077   ,5068, 60, 3.650, 0.390, 3.27, 0.05,-0.31, 0.05, 0.92, 0.07,10.05, 0.11,  5.9, 8.3,"A,2",  1,Gaia,2M,Simbad,326.68353,-08.00718
HD 208313   ,5016, 60, 0.780, 0.040, 4.51, 0.05, 0.02, 0.05, 0.81, 0.04, 9.87, 0.49, 48.8, 7.8,"A,1",  1,Gaia,2M,Simbad,328.68766,+32.32857
HD 209393   ,5651, 60, 0.860, 0.040, 4.57, 0.05,-0.14, 0.05, 0.93, 0.04, 9.31, 0.34, 29.4, 7.9,"A,1",  1,Gaia,2M,Simbad,330.52246,+44.34317
HD 210373   ,4876, 60, 5.060, 0.600, 3.15, 0.05, 0.21, 0.05, 1.34, 0.16, 9.64, 0.17,  7.2, 7.5,"A,1",  1,Gaia,2M,Simbad,332.41456,+22.24220
HD 211681   ,5710, 60, 1.590, 0.200, 4.10, 0.05, 0.35, 0.05, 1.18, 0.11, 9.77, 0.13, 14.2, 8.1,"A,1",  1,Gaia,2M,Simbad,331.70452,+85.40937
HD 215049   ,5109, 60, 2.650, 0.350, 3.63, 0.05, 0.06, 0.05, 1.12, 0.16, 9.89, 0.23,  9.3, 8.3,"A,1",  1,Gaia,2M,Simbad,340.71769,-27.88689
HD 216834   ,5058, 60, 3.170, 0.350, 3.40, 0.05,-0.23, 0.05, 0.91, 0.06,10.09, 0.09,  7.7, 8.1,"A,1",  1,Gaia,2M,Simbad,344.08518,-06.54584
HD 217681   ,4954, 60, 3.360, 0.420, 3.45, 0.05, 0.24, 0.05, 1.20, 0.16, 9.81, 0.19, 10.7, 7.8,"A,1",  1,Gaia,2M,Simbad,345.63289,-11.26569
HD 21774    ,5692, 60, 1.230, 0.130, 4.25, 0.05, 0.20, 0.05, 1.02, 0.06, 9.93, 0.13, 18.7, 8.2,"A,1",  1,Gaia,2M,Simbad,052.81426,+20.76808
HD 220339   ,4954, 60, 0.710, 0.040, 4.56, 0.05,-0.24, 0.05, 0.75, 0.04, 9.79, 0.52, 52.4, 7.8,"A,1",  1,Gaia,2M,Simbad,350.77040,-10.76424
HD 221504   ,5334, 60, 2.360, 0.280, 3.76, 0.05, 0.29, 0.05, 1.23, 0.12, 9.76, 0.14, 11.8, 8.1,"A,1",  1,Gaia,2M,Simbad,353.21108,-21.68769
HD 221822   ,5420, 60, 0.760, 0.040, 4.57, 0.05,-0.37, 0.05, 0.81, 0.04, 9.59, 0.48, 25.8, 8.4,"A,2",  1,Gaia,2M,Simbad,353.84642,+02.22533
HD 222038   ,5629, 60, 1.220, 0.130, 4.25, 0.05, 0.22, 0.05, 1.00, 0.06, 9.98, 0.12, 16.3, 8.4,"A,2",  1,Gaia,2M,Simbad,354.32251,-01.51988
HD 222986   ,5859, 60, 1.040, 0.070, 4.47, 0.05, 0.26, 0.05, 1.09, 0.05, 9.26, 0.29, 14.7, 8.8,"A,1",  1,Gaia,2M,Simbad,356.39592,+40.44350
HD 224619   ,5454, 60, 0.840, 0.060, 4.49, 0.05,-0.17, 0.05, 0.86, 0.05, 9.78, 0.46, 28.7, 7.5,"A,1",  1,Gaia,2M,Simbad,359.86847,-20.03471
HD 22657    ,4792, 60, 4.910, 0.680, 3.11, 0.05, 0.07, 0.05, 1.14, 0.20, 9.86, 0.26,  7.8, 7.8,"A,1",  1,Gaia,2M,Simbad,054.58527,-11.20146
HD 234314   ,5566, 60, 1.470, 0.180, 4.09, 0.05, 0.14, 0.05, 1.00, 0.06,10.03, 0.10, 14.2, 9.3,"A,1",  1,Gaia,2M,Simbad,248.13215,+50.18425
HD 23825    ,5588, 60, 2.480, 0.300, 3.74, 0.05, 0.14, 0.05, 1.33, 0.13, 9.62, 0.13,  9.1, 7.9,"A,1",  1,Gaia,2M,Simbad,057.09140,+10.79306
HD 238433   ,4936, 60, 4.910, 0.730, 3.13, 0.05, 0.00, 0.05, 1.24, 0.26, 9.70, 0.29,  5.1, 8.4,"A,1",  1,Gaia,2M,Simbad,228.40824,+57.19163
HD 24238    ,4951, 60, 0.670, 0.030, 4.54, 0.05,-0.45, 0.05, 0.69, 0.03, 9.96, 0.48, 47.8, 7.8,"A,1",  1,Gaia,2M,Simbad,058.76601,+61.16681
HD 24892    ,5341, 60, 1.630, 0.170, 3.96, 0.05,-0.30, 0.05, 0.89, 0.05,10.08, 0.09, 24.6, 6.9,"A,1",  1,Gaia,2M,Simbad,059.11945,-25.18134
HD 26007    ,4778, 60, 6.500, 0.970, 2.81, 0.05,-0.13, 0.05, 0.98, 0.21,10.00, 0.27,  3.9, 8.4,"A,1",  1,Gaia,2M,Simbad,061.54759,-23.27981
HD 26161    ,6033, 60, 1.470, 0.160, 4.15, 0.05,-0.01, 0.05, 1.14, 0.06, 9.72, 0.10, 24.7, 6.9,"A,1",  1,Gaia,2M,Simbad,062.41190,+31.65213
HD 26634    ,4902, 60, 4.990, 0.640, 3.03, 0.05,-0.14, 0.05, 0.96, 0.16,10.02, 0.22,  5.9, 8.0,"A,1",  1,Gaia,2M,Simbad,063.04665,-13.63718
HD 27496    ,5561, 60, 1.490, 0.190, 4.10, 0.05, 0.33, 0.05, 1.06, 0.09, 9.95, 0.13, 11.2, 8.9,"A,1",  1,Gaia,2M,Simbad,065.18336,+08.40899
HD 27859    ,6013, 60, 1.070, 0.060, 4.47, 0.05, 0.21, 0.05, 1.12, 0.04, 9.19, 0.23, 22.1, 7.8,"A,1",  1,Gaia,2M,Simbad,066.11803,+16.88617
HD 28005    ,5747, 60, 1.290, 0.150, 4.24, 0.05, 0.28, 0.05, 1.08, 0.08, 9.82, 0.14, 33.4, 6.7,"A,1",  1,Gaia,2M,Simbad,066.85293,+46.85315
HD 30708    ,5707, 60, 1.220, 0.130, 4.26, 0.05, 0.15, 0.05, 1.01, 0.05, 9.94, 0.11, 33.3, 6.8,"A,1",  1,Gaia,2M,Simbad,072.87268,+35.81514
HD 31253    ,6027, 60, 1.720, 0.220, 4.06, 0.05, 0.21, 0.05, 1.28, 0.11, 9.60, 0.11, 17.2, 7.1,"A,1",  1,Gaia,2M,Simbad,073.68189,+12.35219
HD 31423    ,6603, 60, 2.180, 0.270, 3.94, 0.05, 0.11, 0.05, 1.57, 0.10, 9.28, 0.06, 15.8, 6.4,"A,1",  1,Gaia,2M,Simbad,074.03739,+07.90469
HD 31451    ,4921, 60, 3.800, 0.550, 3.34, 0.05, 0.00, 0.05, 1.15, 0.22, 9.84, 0.27,  8.8, 8.1,"A,1",  1,Gaia,2M,Simbad,074.46084,+39.63238
HD 31560    ,4702, 60, 0.740, 0.030, 4.48, 0.05, 0.13, 0.05, 0.76, 0.03,10.00, 0.45, 38.9, 8.1,"A,2",  1,Gaia,2M,Simbad,073.92463,-28.56391
HD 33636    ,5960, 60, 0.990, 0.060, 4.49, 0.05,-0.06, 0.05, 1.04, 0.04, 9.27, 0.29, 34.0, 7.1,"A,1",  1,Gaia,2M,Simbad,077.94354,+04.40354
HD 3404     ,5339, 60, 2.170, 0.260, 3.81, 0.05, 0.20, 0.05, 1.15, 0.12, 9.84, 0.16, 12.2, 7.9,"A,1",  1,Gaia,2M,Simbad,009.19506,-24.50094
HD 3458     ,5101, 60, 6.880, 0.850, 2.95, 0.05, 0.12, 0.05, 1.58, 0.16, 9.39, 0.15,  1.8, 8.2,"A,1",  1,Gaia,2M,Simbad,009.34562,-19.56503
HD 35112    ,4895, 60, 0.760, 0.040, 4.46, 0.05,-0.08, 0.05, 0.76, 0.03,10.07, 0.37, 50.2, 7.7,"A,2",  1,Gaia,2M,Simbad,080.65621,+02.60319
HD 3684     ,6163, 60, 2.280, 0.280, 3.90, 0.05, 0.33, 0.05, 1.55, 0.10, 9.38, 0.09,     , 7.3,"A,3",  1,Gaia,2M,Simbad,009.92737,+08.12279
HD 37008    ,4980, 60, 0.690, 0.030, 4.53, 0.05,-0.42, 0.05, 0.70, 0.03, 9.99, 0.44, 48.7, 7.7,"A,2",  1,Gaia,2M,Simbad,084.54942,+51.44574
HD 37124    ,5604, 60, 0.760, 0.040, 4.60, 0.05,-0.45, 0.05, 0.82, 0.04, 9.41, 0.42, 30.1, 7.7,"A,2",  1,Gaia,2M,Simbad,084.26036,+20.73079
HD 37213    ,5447, 60, 1.590, 0.170, 3.98, 0.05,-0.40, 0.05, 0.87, 0.06,10.09, 0.10, 12.7, 8.2,"A,1",  1,Gaia,2M,Simbad,083.92118,-27.62083
HD 37394    ,5249, 60, 0.850, 0.050, 4.50, 0.05, 0.15, 0.05, 0.89, 0.04, 9.73, 0.49, 81.7, 6.2,"A,2",  1,Gaia,2M,Simbad,085.33473,+53.48106
HD 37605    ,5329, 60, 1.000, 0.090, 4.36, 0.05, 0.27, 0.05, 0.91, 0.04,10.08, 0.16, 21.6, 8.7,"A,1",  1,Gaia,2M,Simbad,085.00720,+06.06058
HD 3795     ,5380, 60, 1.470, 0.120, 4.11, 0.05,-0.54, 0.05, 0.83, 0.02,10.16, 0.03, 39.9, 6.1,"A,1",  1,Gaia,2M,Simbad,010.13674,-23.80487
HD 38467    ,5753, 60, 1.430, 0.170, 4.15, 0.05, 0.24, 0.05, 1.09, 0.10, 9.86, 0.14, 13.9, 8.2,"A,1",  1,Gaia,2M,Simbad,086.16400,-29.91667
HD 3861     ,6219, 60, 1.280, 0.130, 4.29, 0.05, 0.17, 0.05, 1.21, 0.05, 9.40, 0.22, 30.1, 6.5,"A,1",  1,Gaia,2M,Simbad,010.29948,+09.35506
HD 39094    ,5432, 60, 1.830, 0.240, 3.94, 0.05, 0.23, 0.05, 1.10, 0.11, 9.92, 0.15, 15.8, 7.9,"A,1",  1,Gaia,2M,Simbad,087.99874,+37.83246
HD 40537    ,4962, 60, 3.070, 0.400, 3.45, 0.05,-0.09, 0.05, 0.91, 0.17,10.12, 0.22, 13.6, 7.3,"A,1",  1,Gaia,2M,Simbad,089.64767,-21.54389
HD 4203     ,5582, 60, 1.560, 0.200, 4.08, 0.05, 0.35, 0.05, 1.09, 0.11, 9.91, 0.15, 12.7, 8.7,"A,1",  1,Gaia,2M,Simbad,011.17167,+20.44893
HD 42807    ,5730, 60, 0.930, 0.050, 4.52, 0.05, 0.01, 0.05, 0.99, 0.04, 9.33, 0.34, 55.2, 6.4,"A,2",  1,Gaia,2M,Simbad,093.30209,+10.62714
HD 4313     ,4943, 60, 4.530, 0.580, 3.24, 0.05, 0.19, 0.05, 1.32, 0.17, 9.66, 0.19,  7.6, 7.8,"A,1",  1,Gaia,2M,Simbad,011.41816,+07.84502
HD 43162    ,5617, 60, 0.890, 0.040, 4.55, 0.05, 0.01, 0.05, 0.97, 0.04, 9.33, 0.36, 16.3, 6.4,"A,2",  1,Gaia,2M,Simbad,093.43873,-23.86194
HD 4395     ,5495, 60, 2.690, 0.300, 3.61, 0.05,-0.15, 0.05, 1.07, 0.07, 9.85, 0.10, 11.0, 7.7,"A,1",  1,Gaia,2M,Simbad,011.55728,-11.45238
HD 44985    ,5984, 60, 1.090, 0.100, 4.36, 0.05,-0.02, 0.05, 1.06, 0.05, 9.57, 0.29, 30.3, 7.0,"A,1",  1,Gaia,2M,Simbad,096.33435,+11.23325
HD 45067    ,5940, 60, 2.010, 0.240, 3.92, 0.05,-0.01, 0.05, 1.22, 0.11, 9.68, 0.12, 30.2, 5.9,"A,2",  1,Gaia,2M,Simbad,096.31894,-00.94588
HD 48345    ,4992, 60, 4.110, 0.500, 3.32, 0.05, 0.20, 0.05, 1.32, 0.16, 9.66, 0.17,  8.5, 7.5,"A,2",  1,Gaia,2M,Simbad,100.94654,+18.65590
HD 5133     ,4921, 60, 0.750, 0.030, 4.55, 0.05,-0.06, 0.05, 0.78, 0.04, 9.75, 0.52, 71.7, 7.2,"A,1",  1,Gaia,2M,Simbad,013.25473,-30.35691
HD 53927    ,4899, 60, 0.700, 0.030, 4.56, 0.05,-0.29, 0.05, 0.72, 0.04, 9.85, 0.51, 43.4, 8.3,"A,1",  1,Gaia,2M,Simbad,107.01766,+29.83450
HD 56274    ,5788, 60, 0.790, 0.050, 4.56, 0.05,-0.51, 0.05, 0.84, 0.04, 9.48, 0.42, 30.3, 7.8,"A,1",  1,Gaia,2M,Simbad,108.96165,-13.04948
HD 57204    ,5097, 60, 3.150, 0.410, 3.52, 0.05, 0.21, 0.05, 1.23, 0.15, 9.76, 0.17, 12.0, 8.0,"A,2",  1,Gaia,2M,Simbad,110.49956,+39.96000
HD 6030     ,4926, 60, 4.300, 0.580, 3.26, 0.05, 0.07, 0.05, 1.26, 0.20, 9.71, 0.25,  5.8, 7.9,"A,1",  1,Gaia,2M,Simbad,015.42870,+09.74603
HD 61606    ,4918, 60, 0.770, 0.030, 4.53, 0.05, 0.09, 0.05, 0.81, 0.04, 9.81, 0.51, 71.1, 7.2,"A,1",  1,Gaia,2M,Simbad,114.99720,-03.59751
HD 61995    ,4989, 60, 3.900, 0.580, 3.26, 0.05,-0.04, 0.05, 0.99, 0.22,10.00, 0.28, 10.9, 7.2,"A,1",  1,Gaia,2M,Simbad,115.94674,+43.79465
HD 63754    ,6033, 60, 1.950, 0.240, 3.99, 0.05, 0.24, 0.05, 1.38, 0.10, 9.54, 0.08, 20.1, 6.5,"A,1",  1,Gaia,2M,Simbad,117.43860,-20.20762
HD 64413    ,4906, 60, 7.800, 1.110, 2.69, 0.05,-0.15, 0.05, 1.10, 0.19, 9.81, 0.22,  3.0, 8.2,"A,1",  1,Gaia,2M,Simbad,118.46577,+00.33146
HD 66428    ,5670, 60, 1.180, 0.120, 4.29, 0.05, 0.23, 0.05, 1.02, 0.06, 9.91, 0.15, 18.7, 8.3,"A,1",  1,Gaia,2M,Simbad,120.86945,-01.16271
HD 68988    ,5866, 60, 1.230, 0.140, 4.29, 0.05, 0.31, 0.05, 1.13, 0.06, 9.63, 0.21, 16.7, 8.2,"A,1",  1,Gaia,2M,Simbad,124.59239,+61.46072
HD 69960    ,5600, 60, 1.580, 0.200, 4.06, 0.05, 0.28, 0.05, 1.08, 0.10, 9.93, 0.14, 16.0, 8.0,"A,1",  1,Gaia,2M,Simbad,125.56709,+56.83646
HD 72440    ,5599, 60, 2.300, 0.300, 3.75, 0.05,-0.01, 0.05, 1.09, 0.16, 9.84, 0.18,  7.0, 8.3,"A,1",  1,Gaia,2M,Simbad,128.75451,+50.47200
HD 72490    ,4935, 60, 4.030, 0.540, 3.21, 0.05,-0.11, 0.05, 0.93, 0.18,10.07, 0.24,  8.1, 7.8,"A,1",  1,Gaia,2M,Simbad,128.40272,+13.55079
HD 72687    ,5795, 60, 0.950, 0.050, 4.53, 0.05, 0.03, 0.05, 1.02, 0.04, 9.26, 0.31, 22.6, 8.3,"A,1",  1,Gaia,2M,Simbad,128.31408,-29.95659
HD 72760    ,5293, 60, 0.840, 0.050, 4.52, 0.05, 0.09, 0.05, 0.89, 0.04, 9.67, 0.47, 47.6, 7.3,"A,1",  1,Gaia,2M,Simbad,128.63187,-00.72607
HD 74390    ,4874, 60, 4.500, 0.570, 3.23, 0.05, 0.19, 0.05, 1.26, 0.17, 9.74, 0.20,  7.2, 8.2,"A,1",  1,Gaia,2M,Simbad,131.33920,+42.40384
HD 77818    ,4777, 60, 4.340, 0.620, 3.19, 0.05,-0.01, 0.05, 1.07, 0.19, 9.95, 0.26,  8.5, 7.6,"A,1",  1,Gaia,2M,Simbad,136.85892,+58.87505
HD 80367    ,5073, 60, 0.830, 0.040, 4.43, 0.05, 0.04, 0.05, 0.81, 0.03,10.08, 0.27, 35.2, 8.2,"A,1",  1,Gaia,2M,Simbad,139.86797,+00.89706
HD 80606    ,5525, 60, 1.130, 0.110, 4.31, 0.05, 0.29, 0.05, 0.98, 0.05, 9.98, 0.15, 15.3, 9.0,"A,1",  1,Gaia,2M,Simbad,140.65657,+50.60373
HD 8407     ,4923, 60, 4.920, 0.670, 3.05, 0.05,-0.12, 0.05, 0.97, 0.17,10.01, 0.23,  6.3, 7.8,"A,1",  1,Gaia,2M,Simbad,020.76089,-16.56031
HD 84737    ,5872, 60, 1.550, 0.190, 4.10, 0.05, 0.14, 0.05, 1.13, 0.09, 9.80, 0.12, 54.3, 5.1,"A,2",  1,Gaia,2M,Simbad,147.14738,+46.02101
HD 8553     ,5054, 60, 0.800, 0.040, 4.48, 0.05,-0.01, 0.05, 0.81, 0.04,10.01, 0.41, 32.1, 8.5,"A,1",  1,Gaia,2M,Simbad,021.22477,+18.49993
HD 8594     ,4800, 60, 5.400, 0.730, 3.07, 0.05, 0.14, 0.05, 1.26, 0.20, 9.73, 0.24, 10.7, 7.2,"A,2",  1,Gaia,2M,Simbad,021.42318,+44.78654
HD 86081    ,5939, 60, 1.520, 0.180, 4.14, 0.05, 0.23, 0.05, 1.19, 0.09, 9.69, 0.11,  9.7, 8.7,"A,1",  1,Gaia,2M,Simbad,149.02466,-03.80842
HD 87424    ,5017, 60, 0.760, 0.030, 4.56, 0.05,-0.05, 0.05, 0.81, 0.04, 9.66, 0.51, 43.2, 8.1,"A,1",  1,Gaia,2M,Simbad,151.15691,-11.72970
HD 87883    ,4942, 60, 0.780, 0.040, 4.50, 0.05, 0.13, 0.05, 0.81, 0.04, 9.92, 0.48, 55.3, 7.5,"A,1",  1,Gaia,2M,Simbad,152.17975,+34.24226
HD 88133    ,5392, 60, 2.020, 0.240, 3.88, 0.05, 0.33, 0.05, 1.18, 0.10, 9.82, 0.12, 13.5, 8.1,"A,1",  1,Gaia,2M,Simbad,152.53199,+18.18687
HD 88654    ,5197, 60, 2.940, 0.370, 3.59, 0.05, 0.19, 0.05, 1.24, 0.15, 9.73, 0.16,  9.9, 7.7,"A,1",  1,Gaia,2M,Simbad,153.31845,-08.44555
HD 93396    ,5327, 60, 2.460, 0.310, 3.74, 0.05, 0.31, 0.05, 1.25, 0.14, 9.74, 0.14,  8.9, 8.0,"A,2",  1,Gaia,2M,Simbad,161.70725,-09.39902
HD 95088    ,5103, 60, 2.670, 0.310, 3.65, 0.05, 0.28, 0.05, 1.19, 0.12, 9.81, 0.15,  9.0, 8.4,"A,1",  1,Gaia,2M,Simbad,164.82475,+43.87339
