8,raa1.199,HD141004,HIP77257
9,raa1.200,HD141004,HIP77257
10,raa1.201,HD141004,HIP77257
11,raa1.208,HD141004,HIP77257
12,raa1.209,HD141004,HIP77257
13,raa1.210,HD141004,HIP77257
17,raa1.222,HD185144,HIP96100
18,raa1.223,HD185144,HIP96100
19,raa1.224,HD185144,HIP96100
20,raa1.225,HD185144,HIP96100
21,raa1.226,HD185144,HIP96100
37,raa2.403,HD185144,HIP96100
38,raa2.404,HD185144,HIP96100
39,raa2.405,HD185144,HIP96100
55,raa4.250,HD239960,HIP110893
56,raa4.261,HD159222,HIP85810
59,raa4.285,HD239960,HIP110893
61,raa5.169,HR5511,HIP72220
62,raa5.177,HR5735,HIP75097
63,raa5.185,HR5903,HIP77055
64,raa5.194,HR5867,HIP77233
65,raa5.204,HR6789,HIP85822
66,raa5.210,HR6789,HIP85822
68,raa6.64,HR5511,HIP72220
69,raa6.72,HR5735,HIP75097
70,raa6.80,HR5903,HIP77055
71,raa6.89,HR5867,HIP77233
72,raa6.97,HR6789,HIP85822
73,raa6.105,HR6629,HIP87108
76,raaa.32,HR5511,HIP72220
77,raaa.35,HR5735,HIP75097
78,raaa.40,HR5867,HIP77233
79,raaa.48,HR5735,HIP75097
80,raaa.53,HR5867,HIP77233
81,raaa.56,HR6789,HIP85822
82,raaa.58,HR7202,HIP93393
83,raaa.59,HR7236,HIP93805
84,raaa.60,HR7457,HIP96387
85,raaa.61,HR7466,HIP96503
86,raaa.62,HR7543,HIP97376
87,raaa.63,HR7565,HIP97679
88,raaa.64,HR7708,HIP99303
89,raaa.65,HR7757,HIP99929
90,raaa.66,HR7803,HIP100664
94,raab.61,GL699,HIP87937
95,raab.62,GL699,HIP87937
96,raab.63,GL699,HIP87937
97,raab.89,HD185144,HIP96100
98,raab.90,HD185144,HIP96100
99,raab.91,HD185144,HIP96100
100,raac.13,HD185144,HIP96100
101,raac.14,HD185144,HIP96100
102,raac.15,HD185144,HIP96100
103,raac.32,HD186427,HIP96901
104,raad.109,GL699,HIP87937
105,raad.110,GL699,HIP87937
106,raad.111,GL699,HIP87937
107,raad.146,HD10700,HIP8102
108,raad.147,HD10700,HIP8102
109,raad.148,HD10700,HIP8102
110,raae.109,GL699,HIP87937
111,raae.110,GL699,HIP87937
112,raae.111,GL699,HIP87937
113,raan.111,HD185144,HIP96100
114,raan.112,HD185144,HIP96100
115,raan.113,HD185144,HIP96100
116,raan.158,HD10700,HIP8102
117,raan.159,HD10700,HIP8102
118,raan.160,HD10700,HIP8102
119,raap.170,HD7924,HIP6379
120,raap.174,HD7924,HIP6379
121,raap.175,HD7924,HIP6379
122,raap.176,HD7924,HIP6379
123,raaq.176,HD4628,HIP3765
124,raaq.177,HD4628,HIP3765
125,raaq.178,HD4628,HIP3765
126,raaq.182,HD9407,HIP7339
127,raaq.183,HD9407,HIP7339
128,raaq.184,HD9407,HIP7339
129,raar.133,HD9826,HIP7513
130,raar.134,HD9826,HIP7513
131,raar.135,HD9826,HIP7513
132,raar.139,HD12846,HIP9829
133,raar.140,HD12846,HIP9829
134,raar.141,HD12846,HIP9829
135,raat.153,HD200964,HIP104202
136,raat.154,HD200964,HIP104202
137,raat.155,HD200964,HIP104202
138,raax.159,HD168443,HIP89844
139,raax.160,HD168443,HIP89844
140,raax.161,HD168443,HIP89844
141,raax.217,HD33643,HIP24323
142,raax.218,HD33643,HIP24323
143,raax.219,HD33643,HIP24323
144,raay.216,HD12661,HIP9683
145,raay.217,HD12661,HIP9683
146,raay.218,HD12661,HIP9683
147,raay.222,HD12846,HIP9829
148,raaz.158,HD151288,HIP82003
149,raaz.159,HD151288,HIP82003
150,raaz.160,HD151288,HIP82003
151,raaz.170,HD182488,HIP95319
152,raaz.171,HD182488,HIP95319
153,raaz.172,HD182488,HIP95319
156,raba.166,HD209290,HIP108782
157,raba.167,HD209290,HIP108782
158,raba.168,HD209290,HIP108782
159,raba.169,HD209290,HIP108782
160,raba.170,HD209290,HIP108782
161,raba.171,HD209290,HIP108782
162,raba.172,HD209290,HIP108782
163,raba.221,HD19373,HIP14632
164,raba.222,HD19373,HIP14632
165,raba.223,HD19373,HIP14632
166,raba.255,HD33643,HIP24323
167,rabf.212,HD4628,HIP3765
168,rabf.213,HD4628,HIP3765
169,rabf.214,HD4628,HIP3765
170,rabf.215,HD4628,HIP3765
171,rabf.216,HD4628,HIP3765
183,race.158,GL48,HIP4856
184,race.159,GL48,HIP4856
185,race.160,GL48,HIP4856
