apf_name,Teff,u_Teff,radius,u_radius,logg,u_logg,feh,u_feh,mass,u_mass,age,u_age,best_mean_chi_squared
161797,5503.182,110.000,1.750,0.180,4.049,0.120,0.378,0.09,1.084,0.080,9.91,0.17,3.17
Gl699,3203.682,70.000,0.221,0.100,5.031,0.120,-0.311,0.09,0.188,0.080,9.68,0.17,14.52
HIP88348,5243.486,110.000,1.010,0.180,4.329,0.120,0.174,0.09,0.919,0.080,9.79,0.17,3.36
HIP89348,6151.345,110.000,1.756,0.180,4.034,0.120,-0.587,0.09,1.043,0.080,9.78,0.17,0.93
168443,5549.280,110.000,1.496,0.180,4.128,0.120,0.163,0.09,0.990,0.080,9.95,0.17,2.82
11964,5217.082,110.000,2.668,0.180,3.680,0.120,0.158,0.09,1.126,0.080,9.87,0.17,3.55
172051,5484.278,110.000,0.923,0.100,4.455,0.120,-0.321,0.09,0.864,0.080,9.85,0.17,2.09
HIP93871,4333.433,70.000,0.662,0.100,4.654,0.120,-0.316,0.09,0.661,0.080,9.72,0.17,6.39
HIP93873,3516.870,70.000,0.409,0.100,4.832,0.120,-0.416,0.09,0.412,0.080,9.79,0.17,8.65
182572,5507.520,110.000,1.678,0.180,4.071,0.120,0.402,0.09,1.074,0.080,9.93,0.17,2.53
185144,5212.249,110.000,0.796,0.100,4.543,0.120,-0.203,0.09,0.819,0.080,9.71,0.17,3.02
HIP96895,5603.128,110.000,1.549,0.180,4.091,0.120,0.069,0.09,1.013,0.080,9.93,0.17,1.61
186427,5562.337,110.000,1.506,0.180,4.098,0.120,0.056,0.09,0.989,0.080,9.98,0.17,2.43
HIP97051,4209.339,70.000,0.657,0.100,4.669,0.120,-0.176,0.09,0.648,0.080,9.61,0.17,4.65
HIP98036,5114.403,110.000,3.043,0.180,3.511,0.120,-0.043,0.09,1.008,0.080,9.97,0.17,3.20
189733,5001.812,110.000,0.771,0.100,4.522,0.120,-0.007,0.09,0.799,0.080,9.80,0.17,3.67
HIP98767,5464.410,110.000,1.440,0.180,4.137,0.120,0.321,0.09,1.021,0.080,9.95,0.17,2.42
190406,5889.800,110.000,1.014,0.180,4.310,0.120,0.094,0.09,1.078,0.080,9.59,0.17,2.06
93396,5197.695,110.000,2.942,0.180,3.642,0.120,0.312,0.09,1.208,0.080,9.78,0.17,3.77
HIP27913,5933.214,110.000,1.060,0.180,4.445,0.120,0.030,0.09,1.057,0.080,9.41,0.17,0.73
HIP36366,6463.869,110.000,2.072,0.180,3.980,0.120,-0.018,0.09,1.468,0.080,9.37,0.17,12.17
HIP12777,6125.903,110.000,1.667,0.180,4.115,0.120,-0.039,0.09,1.207,0.080,9.59,0.17,1.36
HIP67275,6223.142,110.000,1.685,0.180,4.146,0.120,0.102,0.09,1.290,0.080,9.49,0.17,1.21
HIP70497,6315.131,110.000,1.809,0.180,4.142,0.120,-0.120,0.09,1.293,0.080,9.33,0.17,1.04
HIP88175,6596.489,110.000,2.227,0.180,3.949,0.120,-0.074,0.09,1.513,0.080,9.31,0.17,1.80
HIP114924,6063.516,110.000,1.135,0.180,4.280,0.120,0.070,0.09,1.138,0.080,9.50,0.17,1.14
HIP85295,4063.425,70.000,0.665,0.100,4.654,0.120,0.033,0.09,0.654,0.080,9.87,0.17,2.91
HIP71395,4932.709,110.000,0.776,0.100,4.521,0.120,0.149,0.09,0.811,0.080,9.85,0.17,2.05
HIP74995,3444.965,70.000,0.370,0.100,4.868,0.120,0.004,0.09,0.363,0.080,9.67,0.17,9.00
GJ628,3339.961,70.000,0.350,0.100,4.867,0.120,0.038,0.09,0.326,0.080,9.77,0.17,11.08
HIP90790,5026.629,110.000,0.759,0.100,4.554,0.120,-0.166,0.09,0.791,0.080,9.75,0.17,2.25
HIP13642,5104.780,110.000,0.865,0.100,4.472,0.120,0.315,0.09,0.861,0.080,9.91,0.17,2.88
HIP75722,5059.759,110.000,0.845,0.100,4.473,0.120,0.269,0.09,0.845,0.080,9.95,0.17,2.83
16765,6202.350,110.000,2.230,0.180,3.954,0.120,-0.023,0.09,1.386,0.080,9.46,0.17,0.72
122973,5849.823,110.000,0.980,0.100,4.321,0.120,0.094,0.09,1.060,0.080,9.66,0.17,1.46
86081,5836.926,110.000,1.838,0.180,4.069,0.120,0.190,0.09,1.178,0.080,9.74,0.17,4.85
